id,carat,cut,color,clarity,depth,table,x,y,z,price
118,0.53,Ideal,E,SI1,60.9,57.0,5.21,5.24,3.18,1769
119,0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,568
120,1.02,Premium,G,IF,61.8,59.0,6.46,6.41,3.98,8643
121,0.52,Very Good,G,SI2,63.3,58.0,5.11,5.06,3.22,1073
122,1.01,Ideal,H,SI1,61.9,58.0,6.42,6.48,3.99,4767
123,1.09,Ideal,G,VS2,62.8,57.0,6.54,6.58,4.12,7292
124,0.91,Good,F,SI2,56.9,62.0,6.51,6.45,3.69,2461
125,1.21,Very Good,F,SI1,60.2,60.0,6.92,6.96,4.18,7877
126,0.55,Very Good,D,VS2,62.8,57.0,5.24,5.27,3.3,1799
127,1.22,Premium,D,SI2,61.8,58.0,6.86,6.8,4.22,5643
128,1.62,Ideal,G,SI1,62.2,56.0,7.48,7.53,4.67,12295
129,0.33,Premium,H,VS1,59.5,59.0,4.53,4.48,2.68,743
130,0.78,Very Good,F,VS1,60.6,57.0,5.95,6.0,3.62,3401
131,0.31,Good,E,SI1,63.6,57.0,4.28,4.3,2.73,544
132,0.53,Ideal,E,SI2,61.2,55.0,5.23,5.26,3.21,1229
133,1.0,Good,H,VS1,60.1,62.0,6.38,6.47,3.86,5743
134,1.01,Ideal,E,SI2,59.6,60.0,6.52,6.6,3.91,4604
135,1.51,Ideal,G,VS2,59.8,57.0,7.48,7.53,4.48,13214
136,0.83,Very Good,I,VS2,62.0,55.0,6.03,6.06,3.74,2915
137,0.42,Ideal,D,VS1,62.1,56.0,4.78,4.82,2.98,1179
138,0.52,Very Good,G,SI2,63.0,55.0,5.12,5.14,3.23,1049
139,1.2,Premium,H,VS1,62.7,58.0,6.75,6.65,4.2,6727
140,0.71,Premium,H,VS1,62.4,58.0,5.73,5.68,3.56,2572
141,0.42,Good,E,VVS2,61.9,61.0,4.72,4.78,2.94,1042
142,0.54,Premium,D,VS1,61.1,58.0,5.3,5.24,3.22,2100
143,0.7,Very Good,F,SI1,61.7,59.0,5.64,5.68,3.49,2313
144,0.41,Good,G,I1,63.8,56.0,4.74,4.7,3.01,600
145,0.25,Premium,F,IF,61.1,58.0,4.1,4.08,2.5,740
146,1.18,Ideal,G,SI1,62.5,55.0,6.77,6.74,4.22,6112
147,1.5,Very Good,H,SI1,63.4,57.0,7.27,7.23,4.59,7708
148,1.74,Premium,G,VS1,62.4,58.0,7.71,7.61,4.78,17904
149,0.72,Premium,F,VS2,62.0,56.0,5.78,5.68,3.55,2724
150,0.55,Ideal,E,SI1,60.1,57.0,5.36,5.38,3.22,1621
151,0.24,Very Good,F,VS1,59.3,57.0,4.07,4.12,2.43,393
152,0.54,Ideal,G,SI1,61.9,54.0,5.26,5.28,3.26,1368
153,0.31,Very Good,G,VVS2,63.2,58.0,4.32,4.26,2.71,907
154,0.54,Premium,J,VVS2,58.2,62.0,5.37,5.31,3.11,1229
155,1.1,Ideal,H,VS1,62.3,55.0,6.57,6.61,4.1,6586
156,0.92,Good,D,SI2,63.3,59.0,6.12,6.18,3.89,3891
157,0.31,Very Good,G,VS2,62.6,57.0,4.3,4.32,2.7,544
158,2.01,Very Good,H,SI2,63.4,57.0,8.0,7.93,5.05,16111
159,0.3,Premium,D,SI2,60.2,60.0,4.32,4.35,2.61,447
160,0.33,Premium,D,SI1,60.0,59.0,4.5,4.47,2.69,780
161,0.32,Premium,I,VS2,61.1,57.0,4.42,4.39,2.69,576
162,1.01,Very Good,F,VVS2,62.5,63.0,6.41,6.38,4.0,7715
163,1.53,Ideal,I,VS1,62.8,55.0,7.4,7.35,4.63,10796
164,0.71,Premium,F,IF,61.1,58.0,5.8,5.72,3.52,3578
165,0.35,Ideal,E,IF,61.4,56.0,4.53,4.56,2.79,1197
166,1.01,Very Good,F,SI2,60.8,63.0,6.38,6.32,3.86,4017
167,0.36,Ideal,D,VVS2,61.0,56.0,4.57,4.61,2.8,1126
168,1.19,Ideal,F,VVS2,61.7,56.0,6.82,6.85,4.22,10436
169,0.9,Premium,G,SI1,60.6,61.0,6.16,6.12,3.72,3407
170,0.31,Premium,G,VS2,61.7,59.0,4.31,4.34,2.67,544
171,0.42,Very Good,E,SI1,62.8,59.0,4.74,4.78,2.99,773
172,0.93,Premium,G,VS1,62.1,59.0,6.21,6.16,3.84,4793
173,0.32,Ideal,G,SI2,61.3,56.0,4.44,4.47,2.73,407
174,0.31,Ideal,G,SI1,61.7,54.0,4.38,4.4,2.71,446
175,1.0,Good,G,SI1,62.5,62.0,6.32,6.36,3.96,4466
176,0.34,Premium,E,VS2,62.7,56.0,4.51,4.48,2.82,893
177,0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,692
178,0.34,Ideal,E,SI1,62.9,56.0,4.48,4.45,2.81,765
179,0.7,Very Good,F,VS2,60.3,59.0,5.76,5.79,3.48,2400
180,1.7,Ideal,H,VS2,62.8,55.0,7.61,7.54,4.76,10333
181,2.02,Premium,E,SI2,58.2,60.0,8.32,8.25,4.82,17938
182,0.39,Ideal,J,VS2,61.2,56.0,4.71,4.74,2.89,642
183,0.71,Very Good,F,VS1,62.9,55.0,5.68,5.71,3.58,3175
184,0.4,Ideal,E,SI1,60.5,57.0,4.81,4.77,2.9,945
185,0.41,Very Good,H,VVS1,62.0,56.0,4.77,4.81,2.97,1166
186,0.72,Ideal,E,SI1,62.5,55.0,5.69,5.74,3.57,2897
187,1.2,Ideal,H,VS1,62.3,54.0,6.78,6.86,4.25,7768
188,0.32,Very Good,G,SI2,62.3,58.0,4.37,4.42,2.74,421
189,1.17,Ideal,I,SI1,60.0,59.0,6.82,6.87,4.11,5092
190,0.74,Premium,H,VS2,60.2,58.0,5.92,5.88,3.55,2553
191,0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2478
192,0.83,Very Good,G,VS2,62.7,58.0,5.97,6.03,3.76,3195
193,1.52,Premium,F,VS2,60.5,58.0,7.49,7.53,4.54,13389
194,1.5,Fair,H,SI2,59.3,58.0,7.31,7.37,4.35,7098
195,1.52,Ideal,G,VS2,61.5,56.0,7.38,7.45,4.56,13153
196,0.25,Premium,H,VVS1,59.8,59.0,4.09,4.07,2.44,577
197,1.01,Ideal,D,VS2,62.7,57.0,6.39,6.36,4.0,7792
198,1.06,Ideal,D,SI1,61.5,56.0,6.58,6.55,4.04,6565
199,1.2,Ideal,G,VVS2,62.2,53.0,6.8,6.84,4.24,10463
200,1.31,Premium,G,VS1,61.5,59.0,7.06,7.0,4.32,10071
201,1.01,Very Good,G,SI2,61.9,55.0,6.43,6.46,3.99,3852
202,0.31,Ideal,F,VS2,61.5,56.0,4.34,4.37,2.68,625
203,0.24,Very Good,H,VVS2,61.3,57.0,4.01,4.04,2.46,449
204,0.34,Ideal,F,SI1,59.4,57.0,4.58,4.54,2.71,630
205,2.08,Premium,H,SI1,62.6,59.0,8.13,8.1,5.08,17778
206,1.06,Ideal,H,SI2,62.8,57.0,6.57,6.49,4.1,4452
207,0.42,Ideal,F,SI2,62.1,56.0,4.83,4.8,2.99,851
208,1.55,Ideal,I,VS2,62.6,56.0,7.35,7.41,4.62,8831
209,0.7,Very Good,E,VVS1,62.5,56.0,5.63,5.7,3.54,3724
210,0.41,Very Good,E,SI2,63.0,57.0,4.7,4.73,2.97,638
211,1.2,Ideal,J,VS2,61.8,55.0,6.84,6.86,4.23,5318
212,0.34,Premium,I,VS2,61.8,58.0,4.48,4.51,2.78,477
213,0.71,Very Good,E,SI2,63.3,57.0,5.65,5.69,3.59,2225
214,1.16,Ideal,H,SI1,60.0,60.0,6.87,6.84,4.11,5852
215,1.01,Fair,F,SI2,64.8,55.0,6.37,6.26,4.1,3477
216,1.01,Premium,G,VS2,62.6,56.0,6.41,6.34,3.99,5713
217,0.92,Very Good,H,VS1,62.9,58.0,6.17,6.2,3.89,4228
218,1.28,Ideal,I,SI2,62.5,59.0,6.88,6.95,4.32,5719
219,1.21,Ideal,H,VS2,62.6,55.0,6.84,6.78,4.26,7562
220,1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36,5759
221,0.4,Premium,F,VVS2,60.8,59.0,4.72,4.76,2.88,1088
222,1.09,Premium,H,VS2,61.2,58.0,6.63,6.58,4.03,5005
223,1.06,Ideal,H,VS2,62.5,57.0,6.49,6.47,4.05,5889
224,2.16,Ideal,J,VS1,61.4,59.0,8.27,8.33,5.1,15714
225,0.32,Ideal,G,SI2,61.6,56.0,4.4,4.43,2.72,459
226,0.28,Very Good,H,VVS2,62.4,54.0,4.2,4.23,2.63,450
227,0.31,Ideal,I,SI1,61.5,55.0,4.36,4.39,2.69,436
228,0.72,Premium,F,VS2,62.7,59.0,5.71,5.75,3.59,2584
229,0.51,Very Good,E,SI1,62.8,56.0,5.07,5.15,3.21,1438
230,0.31,Ideal,G,VS2,61.6,55.0,4.37,4.39,2.7,544
231,0.71,Ideal,I,VS2,63.1,57.0,5.66,5.71,3.59,2265
232,0.3,Premium,E,VS2,62.5,59.0,4.27,4.3,2.68,658
233,0.4,Ideal,E,VS2,62.3,56.0,4.78,4.72,2.96,1025
234,0.41,Good,E,VVS1,64.3,54.0,4.68,4.72,3.02,957
235,0.34,Good,E,SI1,63.2,55.0,4.46,4.49,2.83,596
236,0.9,Very Good,H,VS1,63.5,59.0,6.13,6.1,3.88,4234
237,0.23,Good,F,VVS1,58.1,52.0,4.03,4.1,2.36,458
238,1.37,Premium,E,SI2,61.0,57.0,7.25,7.19,4.4,6751
239,0.32,Good,I,SI1,63.1,56.0,4.36,4.39,2.76,432
240,0.33,Ideal,F,SI1,60.6,56.0,4.49,4.46,2.71,705
241,1.08,Ideal,F,VS2,61.9,55.0,6.58,6.61,4.09,7629
242,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,4784
243,1.01,Premium,F,SI2,61.9,58.0,6.39,6.34,3.94,4676
244,0.52,Very Good,I,VS1,61.4,57.0,5.17,5.19,3.18,1282
245,0.24,Very Good,H,VVS1,61.3,56.0,4.01,4.04,2.46,449
246,0.31,Ideal,F,VS2,62.9,56.0,4.32,4.3,2.71,802
247,1.04,Ideal,H,SI2,60.3,56.0,6.61,6.58,3.98,4193
248,1.05,Ideal,E,SI1,62.1,57.0,6.48,6.5,4.03,5436
249,0.34,Ideal,F,VS2,62.6,54.0,4.48,4.46,2.8,880
250,2.17,Good,H,SI2,58.9,62.0,8.48,8.52,5.01,16036
251,0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
252,0.56,Ideal,I,VS1,60.5,55.0,5.33,5.39,3.24,1406
253,0.32,Premium,G,VS2,62.6,59.0,4.36,4.33,2.72,720
254,0.31,Premium,I,VS2,60.7,61.0,4.34,4.32,2.63,558
255,1.11,Ideal,F,VS2,62.2,54.0,6.62,6.69,4.14,9144
256,1.0,Very Good,G,SI1,62.6,59.0,6.29,6.33,3.95,4844
257,0.51,Premium,E,SI2,59.5,60.0,5.25,5.17,3.1,1294
258,1.01,Ideal,F,VS1,62.0,57.0,6.46,6.42,3.99,7887
259,0.72,Very Good,F,VVS2,63.6,59.0,5.65,5.7,3.61,3420
260,0.38,Very Good,F,VS1,62.8,56.0,4.59,4.64,2.9,933
261,2.16,Ideal,J,SI1,63.0,55.0,8.2,8.24,5.18,14691
262,1.13,Very Good,H,SI1,63.3,56.0,6.65,6.62,4.2,4689
263,0.91,Ideal,D,VVS2,62.0,54.0,6.2,6.25,3.86,8707
264,0.77,Very Good,J,SI1,63.3,57.0,5.84,5.79,3.68,2010
265,1.71,Very Good,H,VS1,62.0,56.0,7.64,7.68,4.75,13904
266,0.93,Very Good,G,VS1,62.1,59.0,6.16,6.21,3.84,4879
267,0.9,Fair,I,VS2,64.1,66.0,6.04,5.98,3.85,2921
268,1.16,Premium,G,SI2,62.5,58.0,6.72,6.68,4.19,4969
269,1.83,Very Good,E,SI2,62.8,56.0,7.76,7.82,4.89,13134
270,1.02,Good,H,SI2,60.3,63.0,6.45,6.49,3.9,4517
271,0.41,Premium,G,VS1,62.5,59.0,4.77,4.73,2.97,961
272,0.41,Premium,E,SI2,60.0,59.0,4.78,4.82,2.88,683
273,0.6,Premium,F,SI2,59.5,61.0,5.48,5.45,3.26,1272
274,1.02,Premium,D,SI2,62.1,57.0,6.41,6.37,3.97,4381
275,0.53,Ideal,F,VS1,61.4,57.0,5.18,5.2,3.19,1800
276,0.23,Very Good,D,VS1,59.0,61.0,4.04,4.06,2.39,373
277,1.16,Ideal,D,SI2,62.1,54.0,6.79,6.74,4.2,5898
278,0.3,Premium,I,VS1,60.5,60.0,4.3,4.33,2.61,473
279,1.08,Premium,E,SI2,60.2,58.0,6.68,6.61,4.0,4742
280,0.3,Very Good,G,VS1,62.4,58.0,4.22,4.24,2.64,605
281,0.25,Ideal,E,VVS2,61.1,56.0,4.08,4.11,2.5,633
282,1.23,Ideal,J,VS2,61.5,57.0,6.9,6.95,4.26,5217
283,1.51,Premium,H,VS2,62.3,59.0,7.32,7.28,4.55,11540
284,0.46,Ideal,I,IF,62.2,55.0,4.94,4.97,3.08,1192
285,0.32,Ideal,G,VVS1,61.4,57.0,4.42,4.44,2.72,814
286,0.56,Ideal,D,VVS1,61.9,56.0,5.32,5.28,3.28,3496
287,0.91,Premium,D,VS2,62.0,58.0,6.2,6.15,3.83,5167
288,1.45,Very Good,J,VS2,62.6,58.0,7.28,7.16,4.52,6980
289,1.14,Very Good,J,SI2,62.4,57.0,6.66,6.7,4.17,4470
290,0.56,Ideal,G,SI1,62.5,57.0,5.26,5.23,3.28,1345
291,0.42,Ideal,G,VVS1,61.9,56.0,4.8,4.85,2.98,1150
292,2.26,Ideal,I,SI2,61.5,57.0,8.36,8.44,5.17,15606
293,0.55,Ideal,D,SI2,61.3,57.0,5.23,5.28,3.22,1272
294,1.03,Very Good,H,SI1,61.1,59.0,6.5,6.56,3.99,4520
295,0.91,Fair,D,SI1,64.4,60.0,6.08,6.04,3.9,3855
296,0.51,Very Good,G,VS2,63.5,57.0,5.06,5.05,3.21,1443
297,1.02,Very Good,E,SI2,60.7,62.0,6.44,6.47,3.92,4404
298,1.52,Very Good,G,VS2,62.9,60.0,7.28,7.31,4.59,12038
299,0.73,Fair,E,VVS2,57.4,59.0,5.99,5.95,3.43,3813
300,0.38,Very Good,F,VS2,61.9,59.0,4.61,4.66,2.87,800
301,0.55,Ideal,G,VVS1,61.5,55.0,5.28,5.26,3.24,2473
302,2.32,Ideal,I,SI2,62.0,57.0,8.45,8.49,5.25,17516
303,0.24,Very Good,F,VS1,63.0,58.0,3.92,3.95,2.48,419
304,0.94,Premium,E,SI1,62.0,58.0,6.24,6.27,3.88,4661
305,1.07,Ideal,E,VVS2,61.7,57.0,6.55,6.61,4.06,10104
306,0.4,Premium,E,SI1,62.8,59.0,4.69,4.64,2.93,945
307,0.5,Ideal,G,VS2,60.9,58.0,5.1,5.12,3.11,1449
308,1.52,Ideal,G,VVS2,60.6,57.0,7.45,7.49,4.52,15760
309,0.5,Very Good,H,VS2,62.6,56.0,4.99,5.11,3.16,1349
310,0.77,Fair,I,VVS2,59.2,66.0,5.96,5.9,3.51,2292
311,0.4,Very Good,G,SI1,60.0,63.0,4.8,4.76,2.87,900
312,0.27,Ideal,F,VVS1,61.0,57.0,4.2,4.22,2.57,620
313,1.7,Ideal,I,SI1,62.9,57.0,7.57,7.5,4.74,9901
314,0.57,Ideal,G,VS2,61.6,57.0,5.32,5.36,3.29,1608
315,0.34,Ideal,F,VVS2,61.8,56.0,4.47,4.49,2.77,712
316,0.3,Ideal,E,VS2,62.3,56.0,4.28,4.32,2.68,658
317,0.33,Ideal,F,VS2,61.9,55.0,4.46,4.43,2.75,854
318,1.01,Ideal,E,VS2,62.5,54.0,6.39,6.42,4.0,7597
319,0.43,Ideal,D,SI2,62.6,56.0,4.84,4.88,3.04,716
320,0.9,Ideal,F,SI2,61.9,56.0,6.19,6.24,3.85,3796
321,0.7,Good,E,VS1,61.3,62.0,5.64,5.72,3.48,3277
322,0.74,Ideal,F,VS2,62.1,56.0,5.83,5.79,3.61,3200
323,1.52,Premium,I,VS1,60.6,57.0,7.51,7.44,4.53,10300
324,0.72,Ideal,F,VS2,61.9,54.0,5.77,5.74,3.56,2568
325,0.91,Good,H,SI1,63.8,56.0,6.09,6.04,3.87,3323
326,0.81,Premium,G,VS1,62.1,58.0,5.96,5.92,3.69,3311
327,0.72,Very Good,H,SI2,63.5,58.0,5.65,5.68,3.6,1942
328,1.5,Premium,J,SI1,61.2,61.0,7.43,7.37,4.53,7518
329,0.4,Premium,E,VS2,61.2,60.0,4.79,4.68,2.9,949
330,1.68,Ideal,G,SI1,61.6,55.0,7.69,7.64,4.72,12075
331,1.18,Ideal,I,SI1,62.1,56.0,6.79,6.77,4.21,5154
332,0.91,Very Good,F,SI2,63.1,56.0,6.13,6.17,3.88,3489
333,0.77,Ideal,G,SI2,60.3,56.0,5.96,5.92,3.58,2162
334,1.7,Very Good,H,SI2,63.8,55.0,7.47,7.55,4.79,9745
335,0.4,Ideal,G,VS2,62.1,58.0,4.68,4.72,2.92,859
336,0.54,Ideal,I,SI2,60.9,57.0,5.26,5.31,3.22,935
337,1.01,Premium,G,VS2,60.7,61.0,6.46,6.42,3.91,5864
338,1.74,Ideal,E,SI1,62.2,56.0,7.67,7.72,4.79,15847
339,0.71,Very Good,F,VS2,61.3,61.0,5.68,5.73,3.5,2860
340,0.59,Very Good,E,SI2,60.5,58.0,5.43,5.51,3.31,1325
341,1.05,Premium,H,SI2,63.0,57.0,6.47,6.42,4.06,3822
342,0.43,Premium,F,VS1,62.5,58.0,4.85,4.78,3.01,1129
343,1.01,Fair,D,VS2,65.3,58.0,6.29,6.24,4.09,6366
344,2.57,Premium,D,SI2,58.9,58.0,8.99,8.94,5.28,17924
345,1.1,Good,I,VS1,63.7,60.0,6.61,6.45,4.16,4967
346,1.01,Premium,E,SI1,62.0,58.0,6.41,6.37,3.96,4853
347,2.03,Ideal,J,SI1,62.6,55.0,8.06,8.1,5.06,13357
348,1.01,Very Good,F,VS2,63.1,58.0,6.4,6.35,4.02,6787
349,0.5,Very Good,E,VVS2,61.5,59.0,5.08,5.1,3.13,2105
350,0.31,Ideal,D,VS2,61.2,55.0,4.46,4.36,2.7,942
351,1.07,Ideal,G,SI1,62.2,57.0,6.59,6.56,4.09,5303
352,0.3,Ideal,D,SI1,61.9,54.0,4.34,4.32,2.68,709
353,0.31,Premium,G,SI1,61.4,58.0,4.35,4.31,2.66,593
